date,City,Year,Population,Month
2007-06-01,Toronto,2007,2534951.716666667,6
2007-07-01,Toronto,2007,2536814.7,7
2007-08-01,Toronto,2007,2538677.683333333,8
2007-09-01,Toronto,2007,2540540.6666666665,9
2007-10-01,Toronto,2007,2542403.65,10
2007-11-01,Toronto,2007,2544266.6333333333,11
2007-12-01,Toronto,2007,2546129.6166666667,12
2008-01-01,Toronto,2008,2547992.6,1
2008-02-01,Toronto,2008,2549855.5833333335,2
2008-03-01,Toronto,2008,2551718.566666667,3
2008-04-01,Toronto,2008,2553581.55,4
2008-05-01,Toronto,2008,2555444.533333333,5
2008-06-01,Toronto,2008,2557307.5166666666,6
2008-07-01,Toronto,2008,2559170.5,7
2008-08-01,Toronto,2008,2561033.4833333334,8
2008-09-01,Toronto,2008,2562896.466666667,9
2008-10-01,Toronto,2008,2564759.45,10
2008-11-01,Toronto,2008,2566622.433333333,11
2008-12-01,Toronto,2008,2568485.4166666665,12
2009-01-01,Toronto,2009,2570348.4,1
2009-02-01,Toronto,2009,2572211.3833333333,2
2009-03-01,Toronto,2009,2574074.3666666667,3
2009-04-01,Toronto,2009,2575937.35,4
2009-05-01,Toronto,2009,2577800.3333333335,5
2009-06-01,Toronto,2009,2579663.316666667,6
2009-07-01,Toronto,2009,2581526.3,7
2009-08-01,Toronto,2009,2583389.283333333,8
2009-09-01,Toronto,2009,2585252.2666666666,9
2009-10-01,Toronto,2009,2587115.25,10
2009-11-01,Toronto,2009,2588978.2333333334,11
2009-12-01,Toronto,2009,2590841.216666667,12
2010-01-01,Toronto,2010,2592704.2,1
2010-02-01,Toronto,2010,2594567.183333333,2
2010-03-01,Toronto,2010,2596430.1666666665,3
2010-04-01,Toronto,2010,2598293.15,4
2010-05-01,Toronto,2010,2600156.1333333333,5
2010-06-01,Toronto,2010,2602019.1166666667,6
2010-07-01,Toronto,2010,2603882.1,7
2010-08-01,Toronto,2010,2605745.0833333335,8
2010-09-01,Toronto,2010,2607608.066666667,9
2010-10-01,Toronto,2010,2609471.05,10
2010-11-01,Toronto,2010,2611334.033333333,11
2010-12-01,Toronto,2010,2613197.0166666666,12
2000-01-01,Victoria,2000,74000.8,1
2000-02-01,Victoria,2000,74011.15,2
2000-03-01,Victoria,2000,74021.5,3
2000-04-01,Victoria,2000,74031.85,4
2000-05-01,Victoria,2000,74042.2,5
2000-06-01,Victoria,2000,74052.55,6
2000-07-01,Victoria,2000,74062.9,7
2000-08-01,Victoria,2000,74073.25,8
2000-09-01,Victoria,2000,74083.6,9
2000-10-01,Victoria,2000,74093.95,10
2000-11-01,Victoria,2000,74104.3,11
2000-12-01,Victoria,2000,74114.65,12
2001-01-01,Victoria,2001,74125.0,1
2001-02-01,Victoria,2001,74190.53333333334,2
2001-03-01,Victoria,2001,74256.06666666667,3
2001-04-01,Victoria,2001,74321.6,4
2001-05-01,Victoria,2001,74387.13333333333,5
2001-06-01,Victoria,2001,74452.66666666667,6
2001-07-01,Victoria,2001,74518.2,7
2001-08-01,Victoria,2001,74583.73333333334,8
2001-09-01,Victoria,2001,74649.26666666666,9
2001-10-01,Victoria,2001,74714.8,10
2001-11-01,Victoria,2001,74780.33333333333,11
2001-12-01,Victoria,2001,74845.86666666667,12
2002-01-01,Victoria,2002,74911.4,1
2002-02-01,Victoria,2002,74976.93333333333,2
2002-03-01,Victoria,2002,75042.46666666666,3
2002-04-01,Victoria,2002,75108.0,4
2002-05-01,Victoria,2002,75173.53333333334,5
2002-06-01,Victoria,2002,75239.06666666667,6
2002-07-01,Victoria,2002,75304.6,7
2002-08-01,Victoria,2002,75370.13333333333,8
2002-09-01,Victoria,2002,75435.66666666667,9
2002-10-01,Victoria,2002,75501.2,10
2002-11-01,Victoria,2002,75566.73333333334,11
2002-12-01,Victoria,2002,75632.26666666666,12
2003-01-01,Victoria,2003,75697.8,1
2003-02-01,Victoria,2003,75763.33333333333,2
2003-03-01,Victoria,2003,75828.86666666667,3
2003-04-01,Victoria,2003,75894.4,4
2003-05-01,Victoria,2003,75959.93333333333,5
2003-06-01,Victoria,2003,76025.46666666666,6
2003-07-01,Victoria,2003,76091.0,7
2003-08-01,Victoria,2003,76156.53333333334,8
2003-09-01,Victoria,2003,76222.06666666667,9
2003-10-01,Victoria,2003,76287.6,10
2003-11-01,Victoria,2003,76353.13333333333,11
2003-12-01,Victoria,2003,76418.66666666667,12
2004-01-01,Victoria,2004,76484.2,1
2004-02-01,Victoria,2004,76549.73333333334,2
2004-03-01,Victoria,2004,76615.26666666666,3
2004-04-01,Victoria,2004,76680.8,4
2004-05-01,Victoria,2004,76746.33333333333,5
2004-06-01,Victoria,2004,76811.86666666667,6
2004-07-01,Victoria,2004,76877.4,7
2004-08-01,Victoria,2004,76942.93333333333,8
2004-09-01,Victoria,2004,77008.46666666666,9
2004-10-01,Victoria,2004,77074.0,10
2004-11-01,Victoria,2004,77139.53333333334,11
2004-12-01,Victoria,2004,77205.06666666667,12
2005-01-01,Victoria,2005,77270.6,1
2005-02-01,Victoria,2005,77336.13333333333,2
2005-03-01,Victoria,2005,77401.66666666667,3
2005-04-01,Victoria,2005,77467.2,4
2005-05-01,Victoria,2005,77532.73333333334,5
2005-06-01,Victoria,2005,77598.26666666666,6
2005-07-01,Victoria,2005,77663.8,7
2005-08-01,Victoria,2005,77729.33333333333,8
2005-09-01,Victoria,2005,77794.86666666667,9
2005-10-01,Victoria,2005,77860.4,10
2005-11-01,Victoria,2005,77925.93333333333,11
2005-12-01,Victoria,2005,77991.46666666666,12
2006-01-01,Victoria,2006,78057.0,1
2006-02-01,Victoria,2006,78089.66666666667,2
2006-03-01,Victoria,2006,78122.33333333333,3
2006-04-01,Victoria,2006,78155.0,4
2006-05-01,Victoria,2006,78187.66666666667,5
2006-06-01,Victoria,2006,78220.33333333333,6
2006-07-01,Victoria,2006,78253.0,7
2006-08-01,Victoria,2006,78285.66666666667,8
2006-09-01,Victoria,2006,78318.33333333333,9
2006-10-01,Victoria,2006,78351.0,10
2006-11-01,Victoria,2006,78383.66666666667,11
2006-12-01,Victoria,2006,78416.33333333333,12
2007-01-01,Victoria,2007,78449.0,1
2007-02-01,Victoria,2007,78481.66666666667,2
2007-03-01,Victoria,2007,78514.33333333333,3
2007-04-01,Victoria,2007,78547.0,4
2007-05-01,Victoria,2007,78579.66666666667,5
2007-06-01,Victoria,2007,78612.33333333333,6
2007-07-01,Victoria,2007,78645.0,7
2007-08-01,Victoria,2007,78677.66666666667,8
2007-09-01,Victoria,2007,78710.33333333333,9
2007-10-01,Victoria,2007,78743.0,10
2007-11-01,Victoria,2007,78775.66666666667,11
2007-12-01,Victoria,2007,78808.33333333333,12
2008-01-01,Victoria,2008,78841.0,1
2008-02-01,Victoria,2008,78873.66666666667,2
2008-03-01,Victoria,2008,78906.33333333333,3
2008-04-01,Victoria,2008,78939.0,4
2008-05-01,Victoria,2008,78971.66666666667,5
2008-06-01,Victoria,2008,79004.33333333333,6
2008-07-01,Victoria,2008,79037.0,7
2008-08-01,Victoria,2008,79069.66666666667,8
2008-09-01,Victoria,2008,79102.33333333333,9
2008-10-01,Victoria,2008,79135.0,10
2008-11-01,Victoria,2008,79167.66666666667,11
2008-12-01,Victoria,2008,79200.33333333333,12
2009-01-01,Victoria,2009,79233.0,1
2009-02-01,Victoria,2009,79265.66666666667,2
2009-03-01,Victoria,2009,79298.33333333333,3
2009-04-01,Victoria,2009,79331.0,4
2009-05-01,Victoria,2009,79363.66666666667,5
2009-06-01,Victoria,2009,79396.33333333333,6
2009-07-01,Victoria,2009,79429.0,7
2009-08-01,Victoria,2009,79461.66666666667,8
2009-09-01,Victoria,2009,79494.33333333333,9
2009-10-01,Victoria,2009,79527.0,10
2009-11-01,Victoria,2009,79559.66666666667,11
2009-12-01,Victoria,2009,79592.33333333333,12
2010-01-01,Victoria,2010,79625.0,1
2010-02-01,Victoria,2010,79657.66666666667,2
2010-03-01,Victoria,2010,79690.33333333333,3
2010-04-01,Victoria,2010,79723.0,4
2010-05-01,Victoria,2010,79755.66666666667,5
2010-06-01,Victoria,2010,79788.33333333333,6
2010-07-01,Victoria,2010,79821.0,7
2010-08-01,Victoria,2010,79853.66666666667,8
2010-09-01,Victoria,2010,79886.33333333333,9
2010-10-01,Victoria,2010,79919.0,10
2010-11-01,Victoria,2010,79951.66666666667,11
2010-12-01,Victoria,2010,79984.33333333333,12
2000-01-01,Winnipeg,2000,619268.6,1
2000-02-01,Winnipeg,2000,619291.55,2
2000-03-01,Winnipeg,2000,619314.5,3
2000-04-01,Winnipeg,2000,619337.45,4
2000-05-01,Winnipeg,2000,619360.4,5
2000-06-01,Winnipeg,2000,619383.35,6
2000-07-01,Winnipeg,2000,619406.3,7
2000-08-01,Winnipeg,2000,619429.25,8
2000-09-01,Winnipeg,2000,619452.2,9
2000-10-01,Winnipeg,2000,619475.15,10
2000-11-01,Winnipeg,2000,619498.1,11
2000-12-01,Winnipeg,2000,619521.05,12
2001-01-01,Winnipeg,2001,619544.0,1
2001-02-01,Winnipeg,2001,619911.275,2
2001-03-01,Winnipeg,2001,620278.55,3
2001-04-01,Winnipeg,2001,620645.825,4
2001-05-01,Winnipeg,2001,621013.1,5
2001-06-01,Winnipeg,2001,621380.375,6
2001-07-01,Winnipeg,2001,621747.65,7
2001-08-01,Winnipeg,2001,622114.925,8
2001-09-01,Winnipeg,2001,622482.2,9
2001-10-01,Winnipeg,2001,622849.475,10
2001-11-01,Winnipeg,2001,623216.75,11
2001-12-01,Winnipeg,2001,623584.025,12
2002-01-01,Winnipeg,2002,623951.3,1
2002-02-01,Winnipeg,2002,624318.575,2
2002-03-01,Winnipeg,2002,624685.85,3
2002-04-01,Winnipeg,2002,625053.125,4
2002-05-01,Winnipeg,2002,625420.4,5
2002-06-01,Winnipeg,2002,625787.675,6
2002-07-01,Winnipeg,2002,626154.95,7
2002-08-01,Winnipeg,2002,626522.225,8
2002-09-01,Winnipeg,2002,626889.5,9
2002-10-01,Winnipeg,2002,627256.775,10
2002-11-01,Winnipeg,2002,627624.05,11
2002-12-01,Winnipeg,2002,627991.325,12
2003-01-01,Winnipeg,2003,628358.6,1
2003-02-01,Winnipeg,2003,628725.875,2
2003-03-01,Winnipeg,2003,629093.15,3
2003-04-01,Winnipeg,2003,629460.425,4
2003-05-01,Winnipeg,2003,629827.7,5
2003-06-01,Winnipeg,2003,630194.975,6
2003-07-01,Winnipeg,2003,630562.25,7
2003-08-01,Winnipeg,2003,630929.525,8
2003-09-01,Winnipeg,2003,631296.8,9
2003-10-01,Winnipeg,2003,631664.075,10
2003-11-01,Winnipeg,2003,632031.35,11
2003-12-01,Winnipeg,2003,632398.625,12
2004-01-01,Winnipeg,2004,632765.9,1
2004-02-01,Winnipeg,2004,633133.175,2
2004-03-01,Winnipeg,2004,633500.45,3
2004-04-01,Winnipeg,2004,633867.725,4
2004-05-01,Winnipeg,2004,634235.0,5
2004-06-01,Winnipeg,2004,634602.275,6
2004-07-01,Winnipeg,2004,634969.55,7
2004-08-01,Winnipeg,2004,635336.825,8
2004-09-01,Winnipeg,2004,635704.1,9
2004-10-01,Winnipeg,2004,636071.375,10
2004-11-01,Winnipeg,2004,636438.65,11
2004-12-01,Winnipeg,2004,636805.925,12
2005-01-01,Winnipeg,2005,637173.2,1
2005-02-01,Winnipeg,2005,637540.475,2
2005-03-01,Winnipeg,2005,637907.75,3
2005-04-01,Winnipeg,2005,638275.025,4
2005-05-01,Winnipeg,2005,638642.3,5
2005-06-01,Winnipeg,2005,639009.575,6
2005-07-01,Winnipeg,2005,639376.85,7
2005-08-01,Winnipeg,2005,639744.125,8
2005-09-01,Winnipeg,2005,640111.4,9
2005-10-01,Winnipeg,2005,640478.675,10
2005-11-01,Winnipeg,2005,640845.95,11
2005-12-01,Winnipeg,2005,641213.225,12
2006-01-01,Winnipeg,2006,641580.5,1
2006-02-01,Winnipeg,2006,641947.775,2
2006-03-01,Winnipeg,2006,642315.05,3
2006-04-01,Winnipeg,2006,642682.325,4
2006-05-01,Winnipeg,2006,643049.6,5
2006-06-01,Winnipeg,2006,643416.875,6
2006-07-01,Winnipeg,2006,643784.15,7
2006-08-01,Winnipeg,2006,644151.425,8
2006-09-01,Winnipeg,2006,644518.7,9
2006-10-01,Winnipeg,2006,644885.975,10
2006-11-01,Winnipeg,2006,645253.25,11
2006-12-01,Winnipeg,2006,645620.525,12
2007-01-01,Winnipeg,2007,645987.8,1
2007-02-01,Winnipeg,2007,646355.075,2
2007-03-01,Winnipeg,2007,646722.35,3
2007-04-01,Winnipeg,2007,647089.625,4
2007-05-01,Winnipeg,2007,647456.9,5
2007-06-01,Winnipeg,2007,647824.175,6
2007-07-01,Winnipeg,2007,648191.45,7
2007-08-01,Winnipeg,2007,648558.725,8
2007-09-01,Winnipeg,2007,648926.0,9
2007-10-01,Winnipeg,2007,649293.275,10
2007-11-01,Winnipeg,2007,649660.55,11
2007-12-01,Winnipeg,2007,650027.825,12
2008-01-01,Winnipeg,2008,650395.1,1
2008-02-01,Winnipeg,2008,650762.375,2
2008-03-01,Winnipeg,2008,651129.65,3
2008-04-01,Winnipeg,2008,651496.925,4
2008-05-01,Winnipeg,2008,651864.2,5
2008-06-01,Winnipeg,2008,652231.475,6
2008-07-01,Winnipeg,2008,652598.75,7
2008-08-01,Winnipeg,2008,652966.025,8
2008-09-01,Winnipeg,2008,653333.3,9
2008-10-01,Winnipeg,2008,653700.575,10
2008-11-01,Winnipeg,2008,654067.85,11
2008-12-01,Winnipeg,2008,654435.125,12
2009-01-01,Winnipeg,2009,654802.4,1
2009-02-01,Winnipeg,2009,655169.675,2
2009-03-01,Winnipeg,2009,655536.95,3
2009-04-01,Winnipeg,2009,655904.225,4
2009-05-01,Winnipeg,2009,656271.5,5
2009-06-01,Winnipeg,2009,656638.775,6
2009-07-01,Winnipeg,2009,657006.05,7
2009-08-01,Winnipeg,2009,657373.325,8
2009-09-01,Winnipeg,2009,657740.6,9
2009-10-01,Winnipeg,2009,658107.875,10
2009-11-01,Winnipeg,2009,658475.15,11
2009-12-01,Winnipeg,2009,658842.425,12
2010-01-01,Winnipeg,2010,659209.7,1
2010-02-01,Winnipeg,2010,659576.975,2
2010-03-01,Winnipeg,2010,659944.25,3
2010-04-01,Winnipeg,2010,660311.525,4
2010-05-01,Winnipeg,2010,660678.8,5
2010-06-01,Winnipeg,2010,661046.075,6
2010-07-01,Winnipeg,2010,661413.35,7
2010-08-01,Winnipeg,2010,661780.625,8
2010-09-01,Winnipeg,2010,662147.9,9
2010-10-01,Winnipeg,2010,662515.175,10
2010-11-01,Winnipeg,2010,662882.45,11
2010-12-01,Winnipeg,2010,663249.725,12
2000-01-01,Albany,2000,294997.0,1
2000-02-01,Albany,2000,295043.25,2
2000-03-01,Albany,2000,295089.5,3
2000-04-01,Albany,2000,295135.75,4
2000-05-01,Albany,2000,295182.0,5
2000-06-01,Albany,2000,295228.25,6
2000-07-01,Albany,2000,295274.5,7
2000-08-01,Albany,2000,295320.75,8
2000-09-01,Albany,2000,295367.0,9
2000-10-01,Albany,2000,295413.25,10
2000-11-01,Albany,2000,295459.5,11
2000-12-01,Albany,2000,295505.75,12
2001-01-01,Albany,2001,295552.0,1
2001-02-01,Albany,2001,295673.0833333333,2
2001-03-01,Albany,2001,295794.1666666667,3
2001-04-01,Albany,2001,295915.25,4
2001-05-01,Albany,2001,296036.3333333333,5
2001-06-01,Albany,2001,296157.4166666667,6
2001-07-01,Albany,2001,296278.5,7
2001-08-01,Albany,2001,296399.5833333333,8
2001-09-01,Albany,2001,296520.6666666667,9
2001-10-01,Albany,2001,296641.75,10
2001-11-01,Albany,2001,296762.8333333333,11
2001-12-01,Albany,2001,296883.9166666667,12
2002-01-01,Albany,2002,297005.0,1
2002-02-01,Albany,2002,297185.1666666667,2
2002-03-01,Albany,2002,297365.3333333333,3
2002-04-01,Albany,2002,297545.5,4
2002-05-01,Albany,2002,297725.6666666667,5
2002-06-01,Albany,2002,297905.8333333333,6
2002-07-01,Albany,2002,298086.0,7
2002-08-01,Albany,2002,298266.1666666667,8
2002-09-01,Albany,2002,298446.3333333333,9
2002-10-01,Albany,2002,298626.5,10
2002-11-01,Albany,2002,298806.6666666667,11
2002-12-01,Albany,2002,298986.8333333333,12
2003-01-01,Albany,2003,299167.0,1
2003-02-01,Albany,2003,299204.5833333333,2
2003-03-01,Albany,2003,299242.1666666667,3
2003-04-01,Albany,2003,299279.75,4
2003-05-01,Albany,2003,299317.3333333333,5
2003-06-01,Albany,2003,299354.9166666667,6
2003-07-01,Albany,2003,299392.5,7
2003-08-01,Albany,2003,299430.0833333333,8
2003-09-01,Albany,2003,299467.6666666667,9
2003-10-01,Albany,2003,299505.25,10
2003-11-01,Albany,2003,299542.8333333333,11
2003-12-01,Albany,2003,299580.4166666667,12
2004-01-01,Albany,2004,299618.0,1
2004-02-01,Albany,2004,299613.75,2
2004-03-01,Albany,2004,299609.5,3
2004-04-01,Albany,2004,299605.25,4
2004-05-01,Albany,2004,299601.0,5
2004-06-01,Albany,2004,299596.75,6
2004-07-01,Albany,2004,299592.5,7
2004-08-01,Albany,2004,299588.25,8
2004-09-01,Albany,2004,299584.0,9
2004-10-01,Albany,2004,299579.75,10
2004-11-01,Albany,2004,299575.5,11
2004-12-01,Albany,2004,299571.25,12
2005-01-01,Albany,2005,299567.0,1
2005-02-01,Albany,2005,299606.3333333333,2
2005-03-01,Albany,2005,299645.6666666667,3
2005-04-01,Albany,2005,299685.0,4
2005-05-01,Albany,2005,299724.3333333333,5
2005-06-01,Albany,2005,299763.6666666667,6
2005-07-01,Albany,2005,299803.0,7
2005-08-01,Albany,2005,299842.3333333333,8
2005-09-01,Albany,2005,299881.6666666667,9
2005-10-01,Albany,2005,299921.0,10
2005-11-01,Albany,2005,299960.3333333333,11
2005-12-01,Albany,2005,299999.6666666667,12
2006-01-01,Albany,2006,300039.0,1
2006-02-01,Albany,2006,299969.3333333333,2
2006-03-01,Albany,2006,299899.6666666667,3
2006-04-01,Albany,2006,299830.0,4
2006-05-01,Albany,2006,299760.3333333333,5
2006-06-01,Albany,2006,299690.6666666667,6
2006-07-01,Albany,2006,299621.0,7
2006-08-01,Albany,2006,299551.3333333333,8
2006-09-01,Albany,2006,299481.6666666667,9
2006-10-01,Albany,2006,299412.0,10
2006-11-01,Albany,2006,299342.3333333333,11
2006-12-01,Albany,2006,299272.6666666667,12
2007-01-01,Albany,2007,299203.0,1
2007-02-01,Albany,2007,299135.6666666667,2
2007-03-01,Albany,2007,299068.3333333333,3
2007-04-01,Albany,2007,299001.0,4
2007-05-01,Albany,2007,298933.6666666667,5
2007-06-01,Albany,2007,298866.3333333333,6
2007-07-01,Albany,2007,298799.0,7
2007-08-01,Albany,2007,298731.6666666667,8
2007-09-01,Albany,2007,298664.3333333333,9
2007-10-01,Albany,2007,298597.0,10
2007-11-01,Albany,2007,298529.6666666667,11
2007-12-01,Albany,2007,298462.3333333333,12
2008-01-01,Albany,2008,298395.0,1
2008-02-01,Albany,2008,298417.0,2
2008-03-01,Albany,2008,298439.0,3
2008-04-01,Albany,2008,298461.0,4
2008-05-01,Albany,2008,298483.0,5
2008-06-01,Albany,2008,298505.0,6
2008-07-01,Albany,2008,298527.0,7
2008-08-01,Albany,2008,298549.0,8
2008-09-01,Albany,2008,298571.0,9
2008-10-01,Albany,2008,298593.0,10
2008-11-01,Albany,2008,298615.0,11
2008-12-01,Albany,2008,298637.0,12
2009-01-01,Albany,2009,298659.0,1
2009-02-01,Albany,2009,299111.1666666667,2
2009-03-01,Albany,2009,299563.3333333333,3
2009-04-01,Albany,2009,300015.5,4
2009-05-01,Albany,2009,300467.6666666667,5
2009-06-01,Albany,2009,300919.8333333333,6
2009-07-01,Albany,2009,301372.0,7
2009-08-01,Albany,2009,301824.1666666667,8
2009-09-01,Albany,2009,302276.3333333333,9
2009-10-01,Albany,2009,302728.5,10
2009-11-01,Albany,2009,303180.6666666667,11
2009-12-01,Albany,2009,303632.8333333333,12
2010-01-01,Albany,2010,304085.0,1
2010-02-01,Albany,2010,304130.1666666667,2
2010-03-01,Albany,2010,304175.3333333333,3
2010-04-01,Albany,2010,304220.5,4
2010-05-01,Albany,2010,304265.6666666667,5
2010-06-01,Albany,2010,304310.8333333333,6
2010-07-01,Albany,2010,304356.0,7
2010-08-01,Albany,2010,304401.1666666667,8
2010-09-01,Albany,2010,304446.3333333333,9
2010-10-01,Albany,2010,304491.5,10
2010-11-01,Albany,2010,304536.6666666667,11
2010-12-01,Albany,2010,304581.8333333333,12
2000-01-01,Annapolis,2000,36125.0,1
2000-02-01,Annapolis,2000,36136.25,2
2000-03-01,Annapolis,2000,36147.5,3
2000-04-01,Annapolis,2000,36158.75,4
2000-05-01,Annapolis,2000,36170.0,5
2000-06-01,Annapolis,2000,36181.25,6
2000-07-01,Annapolis,2000,36192.5,7
2000-08-01,Annapolis,2000,36203.75,8
2000-09-01,Annapolis,2000,36215.0,9
2000-10-01,Annapolis,2000,36226.25,10
2000-11-01,Annapolis,2000,36237.5,11
2000-12-01,Annapolis,2000,36248.75,12
2001-01-01,Annapolis,2001,36260.0,1
2001-02-01,Annapolis,2001,36278.083333333336,2
2001-03-01,Annapolis,2001,36296.166666666664,3
2001-04-01,Annapolis,2001,36314.25,4
2001-05-01,Annapolis,2001,36332.333333333336,5
2001-06-01,Annapolis,2001,36350.416666666664,6
2001-07-01,Annapolis,2001,36368.5,7
2001-08-01,Annapolis,2001,36386.583333333336,8
2001-09-01,Annapolis,2001,36404.666666666664,9
2001-10-01,Annapolis,2001,36422.75,10
2001-11-01,Annapolis,2001,36440.833333333336,11
2001-12-01,Annapolis,2001,36458.916666666664,12
2002-01-01,Annapolis,2002,36477.0,1
2002-02-01,Annapolis,2002,36471.333333333336,2
2002-03-01,Annapolis,2002,36465.666666666664,3
2002-04-01,Annapolis,2002,36460.0,4
2002-05-01,Annapolis,2002,36454.333333333336,5
2002-06-01,Annapolis,2002,36448.666666666664,6
2002-07-01,Annapolis,2002,36443.0,7
2002-08-01,Annapolis,2002,36437.333333333336,8
2002-09-01,Annapolis,2002,36431.666666666664,9
2002-10-01,Annapolis,2002,36426.0,10
2002-11-01,Annapolis,2002,36420.333333333336,11
2002-12-01,Annapolis,2002,36414.666666666664,12
2003-01-01,Annapolis,2003,36409.0,1
2003-02-01,Annapolis,2003,36419.083333333336,2
2003-03-01,Annapolis,2003,36429.166666666664,3
2003-04-01,Annapolis,2003,36439.25,4
2003-05-01,Annapolis,2003,36449.333333333336,5
2003-06-01,Annapolis,2003,36459.416666666664,6
2003-07-01,Annapolis,2003,36469.5,7
2003-08-01,Annapolis,2003,36479.583333333336,8
2003-09-01,Annapolis,2003,36489.666666666664,9
2003-10-01,Annapolis,2003,36499.75,10
2003-11-01,Annapolis,2003,36509.833333333336,11
2003-12-01,Annapolis,2003,36519.916666666664,12
2004-01-01,Annapolis,2004,36530.0,1
2004-02-01,Annapolis,2004,36529.416666666664,2
2004-03-01,Annapolis,2004,36528.833333333336,3
2004-04-01,Annapolis,2004,36528.25,4
2004-05-01,Annapolis,2004,36527.666666666664,5
2004-06-01,Annapolis,2004,36527.083333333336,6
2004-07-01,Annapolis,2004,36526.5,7
2004-08-01,Annapolis,2004,36525.916666666664,8
2004-09-01,Annapolis,2004,36525.333333333336,9
2004-10-01,Annapolis,2004,36524.75,10
2004-11-01,Annapolis,2004,36524.166666666664,11
2004-12-01,Annapolis,2004,36523.583333333336,12
2005-01-01,Annapolis,2005,36523.0,1
2005-02-01,Annapolis,2005,36541.833333333336,2
2005-03-01,Annapolis,2005,36560.666666666664,3
2005-04-01,Annapolis,2005,36579.5,4
2005-05-01,Annapolis,2005,36598.333333333336,5
2005-06-01,Annapolis,2005,36617.166666666664,6
2005-07-01,Annapolis,2005,36636.0,7
2005-08-01,Annapolis,2005,36654.833333333336,8
2005-09-01,Annapolis,2005,36673.666666666664,9
2005-10-01,Annapolis,2005,36692.5,10
2005-11-01,Annapolis,2005,36711.333333333336,11
2005-12-01,Annapolis,2005,36730.166666666664,12
2006-01-01,Annapolis,2006,36749.0,1
2006-02-01,Annapolis,2006,36762.833333333336,2
2006-03-01,Annapolis,2006,36776.666666666664,3
2006-04-01,Annapolis,2006,36790.5,4
2006-05-01,Annapolis,2006,36804.333333333336,5
2006-06-01,Annapolis,2006,36818.166666666664,6
2006-07-01,Annapolis,2006,36832.0,7
2006-08-01,Annapolis,2006,36845.833333333336,8
2006-09-01,Annapolis,2006,36859.666666666664,9
2006-10-01,Annapolis,2006,36873.5,10
2006-11-01,Annapolis,2006,36887.333333333336,11
2006-12-01,Annapolis,2006,36901.166666666664,12
2007-01-01,Annapolis,2007,36915.0,1
2007-02-01,Annapolis,2007,36903.833333333336,2
2007-03-01,Annapolis,2007,36892.666666666664,3
2007-04-01,Annapolis,2007,36881.5,4
2007-05-01,Annapolis,2007,36870.333333333336,5
2007-06-01,Annapolis,2007,36859.166666666664,6
2007-07-01,Annapolis,2007,36848.0,7
2007-08-01,Annapolis,2007,36836.833333333336,8
2007-09-01,Annapolis,2007,36825.666666666664,9
2007-10-01,Annapolis,2007,36814.5,10
2007-11-01,Annapolis,2007,36803.333333333336,11
2007-12-01,Annapolis,2007,36792.166666666664,12
2008-01-01,Annapolis,2008,36781.0,1
2008-02-01,Annapolis,2008,36800.583333333336,2
2008-03-01,Annapolis,2008,36820.166666666664,3
2008-04-01,Annapolis,2008,36839.75,4
2008-05-01,Annapolis,2008,36859.333333333336,5
2008-06-01,Annapolis,2008,36878.916666666664,6
2008-07-01,Annapolis,2008,36898.5,7
2008-08-01,Annapolis,2008,36918.083333333336,8
2008-09-01,Annapolis,2008,36937.666666666664,9
2008-10-01,Annapolis,2008,36957.25,10
2008-11-01,Annapolis,2008,36976.833333333336,11
2008-12-01,Annapolis,2008,36996.416666666664,12
2009-01-01,Annapolis,2009,37016.0,1
2009-02-01,Annapolis,2009,37132.0,2
2009-03-01,Annapolis,2009,37248.0,3
2009-04-01,Annapolis,2009,37364.0,4
2009-05-01,Annapolis,2009,37480.0,5
2009-06-01,Annapolis,2009,37596.0,6
2009-07-01,Annapolis,2009,37712.0,7
2009-08-01,Annapolis,2009,37828.0,8
2009-09-01,Annapolis,2009,37944.0,9
2009-10-01,Annapolis,2009,38060.0,10
2009-11-01,Annapolis,2009,38176.0,11
2009-12-01,Annapolis,2009,38292.0,12
2010-01-01,Annapolis,2010,38408.0,1
2010-02-01,Annapolis,2010,38417.083333333336,2
2010-03-01,Annapolis,2010,38426.166666666664,3
2010-04-01,Annapolis,2010,38435.25,4
2010-05-01,Annapolis,2010,38444.333333333336,5
2010-06-01,Annapolis,2010,38453.416666666664,6
2010-07-01,Annapolis,2010,38462.5,7
2010-08-01,Annapolis,2010,38471.583333333336,8
2010-09-01,Annapolis,2010,38480.666666666664,9
2010-10-01,Annapolis,2010,38489.75,10
2010-11-01,Annapolis,2010,38498.833333333336,11
2010-12-01,Annapolis,2010,38507.916666666664,12
2000-01-01,Atlanta,2000,419382.0,1
2000-02-01,Atlanta,2000,419731.0833333333,2
2000-03-01,Atlanta,2000,420080.1666666667,3
2000-04-01,Atlanta,2000,420429.25,4
2000-05-01,Atlanta,2000,420778.3333333333,5
2000-06-01,Atlanta,2000,421127.4166666667,6
2000-07-01,Atlanta,2000,421476.5,7
2000-08-01,Atlanta,2000,421825.5833333333,8
2000-09-01,Atlanta,2000,422174.6666666667,9
2000-10-01,Atlanta,2000,422523.75,10
2000-11-01,Atlanta,2000,422872.8333333333,11
2000-12-01,Atlanta,2000,423221.9166666667,12
2001-01-01,Atlanta,2001,423571.0,1
2001-02-01,Atlanta,2001,423605.4166666667,2
2001-03-01,Atlanta,2001,423639.8333333333,3
