state,year,megatonnes CO2
IA,2010,20.7836809929045
IA,2011,20.83671718648117
IA,2012,19.7684156246709
IA,2013,19.96678861492773
IA,2014,20.61920527052283
IA,2015,19.94932759467193
IA,2016,20.98367411780017
IA,2017,20.032077074328
IA,2018,20.26870030165787
IA,2019,20.31396879188746
IA,2020,18.54597421356167
IA,2021,19.59317481436626
IA,2022,19.70152001452433
KS,1990,19.2314294718667
KS,1991,17.9590410663895
KS,1992,17.72861328649473
KS,1993,17.94099446583913
KS,1994,16.9816977997975
KS,1995,18.90740982387217
KS,1996,18.78038682395297
KS,1997,18.59227878167293
KS,1998,18.62660676495886
KS,1999,19.70266932227257
KS,2000,18.7853213616354
KS,2001,17.44709813209036
KS,2002,17.802922582676
KS,2003,19.7459928569453
KS,2004,19.04111521969433
KS,2005,17.76930689522523
KS,2006,18.92170019640413
KS,2007,19.27163444856173
KS,2008,18.66909797597093
KS,2009,19.31733704406477
KS,2010,18.6421137828134
KS,2011,18.00771244327879
KS,2012,17.94164433552077
KS,2013,18.9590026839917
KS,2014,20.309157984577
KS,2015,18.6246016773102
KS,2016,18.26004810783083
KS,2017,17.76384414362726
KS,2018,18.80402930186403
KS,2019,19.26823565042603
KS,2020,17.20834444249947
KS,2021,17.38195878329056
KS,2022,17.98190306624653
KY,1990,26.51114507298803
KY,1991,26.50753172736936
KY,1992,27.74379495652856
KY,1993,28.76585480295487
KY,1994,28.51392569698823
KY,1995,29.63743128971643
KY,1996,27.87682023111077
KY,1997,30.14335868980847
KY,1998,30.13615788857556
KY,1999,31.22533994891776
KY,2000,31.59016384241997
KY,2001,31.9185645321026
KY,2002,33.01032286541183
KY,2003,31.86448966672583
KY,2004,34.47079944870723
KY,2005,33.4247775062806
KY,2006,33.3157935493922
KY,2007,34.60565542290486
KY,2008,31.5522338627265
KY,2009,31.97907120066964
KY,2010,32.26447850455683
KY,2011,31.89572958547323
KY,2012,30.78250319517084
KY,2013,30.5100485788351
KY,2014,31.0372610506948
KY,2015,31.45619154849233
KY,2016,31.47627514613157
KY,2017,32.04704078777777
KY,2018,33.61879059788553
KY,2019,33.0443552438582
KY,2020,30.71260921465183
KY,2021,33.36646199716683
KY,2022,33.60401902706053
LA,1990,48.7774830066194
LA,1991,51.34839872158223
LA,1992,51.46453122099593
LA,1993,51.22570814942314
LA,1994,53.8431602874506
LA,1995,53.87757042771766
LA,1996,59.18755655786563
LA,1997,56.54792922034043
LA,1998,55.33890916403629
LA,1999,55.1886485318157
LA,2000,61.1541762365545
LA,2001,53.53336338334637
LA,2002,54.85189562716307
LA,2003,54.88464094818063
LA,2004,53.65180156082009
LA,2005,50.93458112694307
LA,2006,54.87142348509579
LA,2007,50.42203327923483
LA,2008,47.3237746192684
LA,2009,46.48387978884576
LA,2010,42.02252324996477
LA,2011,42.8716659348516
LA,2012,38.80225346580587
LA,2013,37.5199159759688
LA,2014,35.6616316622918
LA,2015,36.24267984356506
LA,2016,37.51155429117581
LA,2017,40.66349006208024
LA,2018,37.59112091420363
LA,2019,39.98387866232283
LA,2020,38.64209438933286
LA,2021,44.31092501010266
LA,2022,47.34603806996103
ME,1990,8.261224301486934
ME,1991,7.564673575115433
ME,1992,7.4545425716311
ME,1993,7.548401572219567
ME,1994,7.673447371727499
ME,1995,7.273099339795301
ME,1996,7.521601977588968
ME,1997,7.894038601990199
ME,1998,7.705055957741267
ME,1999,7.961853657111933
ME,2000,8.610645968289932
ME,2001,7.6492390992963
ME,2002,8.7317677018352
ME,2003,9.446758413735498
ME,2004,8.701878086482534
ME,2005,9.336356050900267
ME,2006,9.372626634709066
ME,2007,8.9512546464869
ME,2008,8.028357679922433
ME,2009,8.381801001904
ME,2010,8.082551484161366
ME,2011,8.027886542406867
ME,2012,7.657414425216968
ME,2013,8.5029804477068
ME,2014,8.564910354238334
ME,2015,8.574746678727166
ME,2016,8.5341069003135
ME,2017,8.120958079282033
ME,2018,7.189771764836832
ME,2019,7.159861567633134
ME,2020,6.5563903331476
ME,2021,7.046875652008866
ME,2022,7.234032002708867
MD,1990,23.56911886073506
MD,1991,23.9671905859265
MD,1992,24.5599406970742
MD,1993,24.35352547304783
MD,1994,24.31541344524747
MD,1995,24.69942883672697
MD,1996,25.37961629205823
MD,1997,26.13130887981203
MD,1998,26.91045518261467
MD,1999,28.3442898704405
MD,2000,28.74321077299026
MD,2001,28.74474574410303
MD,2002,28.30581845058366
MD,2003,29.70220123506863
MD,2004,31.11564332301113
MD,2005,31.93972710020034
MD,2006,31.92691271221246
MD,2007,31.2949666791861
MD,2008,29.97415180302364
MD,2009,30.9737795844818
MD,2010,30.67570591381597
MD,2011,29.76051968560293
MD,2012,29.65033228608293
MD,2013,29.74761909593283
MD,2014,29.36353512635914
MD,2015,30.1380187616948
MD,2016,29.3057330417159
MD,2017,29.29948826713809
MD,2018,30.2935594907286
MD,2019,30.50295000637426
MD,2020,25.29547328927373
MD,2021,27.5027884250922
MD,2022,25.86855655370287
MA,1990,28.83762759476353
MA,1991,27.5901842147921
MA,1992,27.4358159518476
MA,1993,27.67717722447554
MA,1994,27.8305100262145
MA,1995,28.33952161592383
MA,1996,29.67937987417957
MA,1997,30.11642438740541
MA,1998,30.137407048386
MA,1999,30.9020276715084
MA,2000,32.21546547612029
MA,2001,31.61554470089106
MA,2002,31.73011374468063
MA,2003,31.99121914379416
MA,2004,33.53888851381786
MA,2005,33.85381430003907
MA,2006,32.81636973575069
MA,2007,33.11544752545003
MA,2008,32.6742918406894
MA,2009,30.01650665713004
MA,2010,30.62048535294907
MA,2011,30.58615993958396
MA,2012,29.97890327604516
MA,2013,31.10748544189183
MA,2014,29.87795495372673
MA,2015,30.77342296665303
MA,2016,31.54204367222554
MA,2017,31.20422816878767
MA,2018,31.73298570921306
MA,2019,31.8609772048238
MA,2020,23.780020244684
MA,2021,26.66466656569356
MA,2022,28.03276841678683
MI,1990,47.95204030060143
MI,1991,48.7575094092966
MI,1992,49.23301061907065
MI,1993,51.76570528745
MI,1994,51.77249053013436
MI,1995,53.25800061698344
MI,1996,53.96794756991477
MI,1997,55.07323588257076
MI,1998,56.37420688383953
MI,1999,58.82800194815794
MI,2000,57.31964601486639
MI,2001,56.39877824136563
MI,2002,57.55575791805217
MI,2003,55.87337397430984
MI,2004,56.18523050070552
MI,2005,55.40509186671287
MI,2006,55.33230498283619
MI,2007,54.5240249788883
MI,2008,50.03280339802946
MI,2009,48.64427311374584
MI,2010,50.39678483931374
MI,2011,49.3520472535123
MI,2012,48.3951555103962
MI,2013,50.2267687306319
MI,2014,49.68476965487201
MI,2015,51.30620931142263
MI,2016,51.85854230525467
MI,2017,51.07506949647814
MI,2018,52.74862528030479
MI,2019,51.84618863179176
MI,2020,43.14587415270513
MI,2021,47.15228055236197
MI,2022,47.1839004211036
MN,1990,23.77389455227563
MN,1991,25.02643407019323
MN,1992,26.4730508650674
MN,1993,27.50678271758853
MN,1994,28.43450089295383
MN,1995,29.5025021091383
MN,1996,30.50473308655777
MN,1997,29.99104513166996
MN,1998,31.4889685340626
MN,1999,33.57567962403747
MN,2000,35.07335301004993
MN,2001,34.13189636990576
MN,2002,34.683519087481
MN,2003,35.06234061389949
MN,2004,36.01325711739103
MN,2005,36.40578906274787
MN,2006,35.95459668412846
MN,2007,36.0297504130234
MN,2008,33.93019951002771
MN,2009,31.47914014350453
MN,2010,31.08701781759053
MN,2011,30.4818011571282
MN,2012,30.98572880875744
MN,2013,31.056724874835
MN,2014,31.1514328288801
MN,2015,31.1130645748527
MN,2016,32.66109617803194
MN,2017,32.86129401575863
MN,2018,32.99402400388856
MN,2019,33.35351490658184
MN,2020,26.7980324343413
MN,2021,28.934081899536
MN,2022,29.1442079768741
MS,1990,20.15286402822953
MS,1991,21.97136085084196
MS,1992,22.86596374256883
MS,1993,22.92360089397767
MS,1994,22.973869686757
MS,1995,23.21866295591187
MS,1996,23.48918803832444
MS,1997,24.30081464644093
MS,1998,24.54802028398353
MS,1999,25.8975590017386
MS,2000,25.31465149481107
MS,2001,24.4529343922831
MS,2002,24.9860801379882
MS,2003,26.77447522672853
MS,2004,25.84715117813106
MS,2005,25.2406326787857
MS,2006,26.75192631344346
MS,2007,26.38103683975246
MS,2008,25.17911608311807
MS,2009,24.546535681415
MS,2010,22.57594190945573
MS,2011,21.7863692646721
MS,2012,23.26600194822383
MS,2013,21.20132434972933
MS,2014,21.46043786740406
MS,2015,22.4751495434422
MS,2016,22.85342577243294
MS,2017,22.4034587099774
MS,2018,22.5437854434023
MS,2019,23.161073661528
MS,2020,22.0841799752761
MS,2021,23.1496263121541
MS,2022,23.31292556544636
MO,1990,33.7765169724488
MO,1991,33.66736876480083
MO,1992,34.93756530414663
MO,1993,35.75633596909734
MO,1994,36.7629628350754
MO,1995,38.18682498187223
MO,1996,40.27272381901816
MO,1997,41.19320849601357
MO,1998,44.82146435775177
MO,1999,44.16336111904713
MO,2000,39.58716427259916
MO,2001,39.53198723585796
MO,2002,40.47202154716856
MO,2003,42.29720152205643
MO,2004,40.86917727550239
MO,2005,41.5700112179308
MO,2006,42.01636154021569
MO,2007,42.28504878635143
MO,2008,39.47143960024247
MO,2009,38.6685190287517
MO,2010,39.49927029764723
MO,2011,38.49152250867512
MO,2012,37.15422344180543
MO,2013,37.2559483432697
MO,2014,37.70392087551136
MO,2015,37.59732608870259
MO,2016,38.2253271435607
MO,2017,38.0190312815995
MO,2018,38.07784337456807
MO,2019,38.230819232518
MO,2020,34.39735835716107
MO,2021,36.71964489911372
MO,2022,36.63086952713797
MT,1990,5.816099589379933
MT,1991,5.7517858615008
MT,1992,6.242707854605933
MT,1993,6.424369042443
MT,1994,6.689234110265666
MT,1995,6.9670745113992
MT,1996,6.8719497652718
MT,1997,7.030375925487566
MT,1998,7.047762313339733
MT,1999,7.317056677270266
MT,2000,7.480634135554433
MT,2001,7.574615424610299
MT,2002,7.592893345527233
MT,2003,7.263845717023132
MT,2004,7.809973334270799
MT,2005,8.2847687053637
MT,2006,8.529925492970198
MT,2007,8.919681757817234
MT,2008,8.1872146996662
MT,2009,7.792927490501633
MT,2010,8.096295582854966
MT,2011,8.094161397999965
MT,2012,7.846473009246299
MT,2013,7.943998643104332
MT,2014,7.6706166665007
MT,2015,7.4715664565124
MT,2016,7.753756695636234
MT,2017,7.9181966408644
MT,2018,7.9733808243298
MT,2019,7.847423015740732
MT,2020,7.900953949652865
MT,2021,8.067622519911167
MT,2022,7.9048132770244
NE,1990,10.6273584662993
NE,1991,10.3884791497729
NE,1992,10.78849831259127
NE,1993,10.55932564662837
NE,1994,10.8143435514708
NE,1995,11.48456346056727
NE,1996,12.58581985434876
NE,1997,12.78999607927507
NE,1998,13.3997216218063
NE,1999,13.73642044866997
NE,2000,12.19569739858947
NE,2001,11.43105596633
NE,2002,11.74347260450467
NE,2003,12.17379202226403
NE,2004,12.25937212712667
NE,2005,12.23141374577577
NE,2006,12.4050172769127
NE,2007,12.45766043714097
NE,2008,12.11991178716853
NE,2009,12.22606451481177
NE,2010,14.3509918911997
NE,2011,13.75711881237613
NE,2012,13.2798979768301
NE,2013,13.23164679032423
NE,2014,13.68161225498467
NE,2015,13.60003972136296
NE,2016,13.42247228540827
NE,2017,13.53541274647797
NE,2018,14.1486834345296
NE,2019,14.1536368947996
NE,2020,12.95123277768723
NE,2021,13.5654318749378
NE,2022,13.56896007649527
NV,1990,9.439398018726132
NV,1991,9.8372066265286
NV,1992,10.05312396306863
NV,1993,10.3743209500623
NV,1994,10.981742610036
NV,1995,11.4033891074312
NV,1996,12.7639319675736
NV,1997,12.7365787229791
NV,1998,13.06635408517707
NV,1999,13.89254017457203
NV,2000,14.57312661654373
NV,2001,14.5206715360817
NV,2002,14.7491706116018
NV,2003,15.24250325177433
NV,2004,16.12726616805297
NV,2005,16.78433679434197
NV,2006,17.9588188341848
NV,2007,18.12328019651343
NV,2008,16.07096936104513
NV,2009,14.48938947359053
NV,2010,17.562635261171
NV,2011,17.18782275303573
NV,2012,17.1180235100622
NV,2013,17.39648800754553
NV,2014,17.36563372102204
NV,2015,17.49717446413273
NV,2016,18.2345424731151
NV,2017,18.94669026861747
NV,2018,18.98530588653563
NV,2019,18.99403844384016
NV,2020,15.3514275508176
NV,2021,17.75989171032156
NV,2022,18.87488371891063
NH,1990,5.204906092162333
NH,1991,5.306743820602034
NH,1992,5.276290572864299
NH,1993,5.3596074997102
NH,1994,5.487756606618733
NH,1995,5.736302712946666
NH,1996,5.898291560012499
NH,1997,6.218090443702867
NH,1998,6.841223454392066
NH,1999,7.088509861594699
NH,2000,7.288828928038532
NH,2001,7.260368587374468
NH,2002,8.1240312372219
NH,2003,7.669863212204599
NH,2004,7.805953688355531
NH,2005,7.3286953286074
NH,2006,7.253496825319433
NH,2007,7.348246537764734
NH,2008,7.098726828228201
NH,2009,7.0341131042545
NH,2010,7.083552819826633
NH,2011,6.905588252930766
