date,province,year,megatonnes CO2,month
2013-09-01,NS,2013,4.65285812400548,9
2013-10-01,NS,2013,4.617766614663013,10
2013-11-01,NS,2013,4.581505388342466,11
2013-12-01,NS,2013,4.546413879,12
2011-01-01,ON,2011,57.283445283342466,1
2011-02-01,ON,2011,57.24320400668493,2
2011-03-01,ON,2011,57.206857047123286,3
2011-04-01,ON,2011,57.166615770465754,4
2011-05-01,ON,2011,57.127672599506845,5
2011-06-01,ON,2011,57.08743132284931,6
2011-07-01,ON,2011,57.04848815189041,7
2011-08-01,ON,2011,57.00824687523287,8
2011-09-01,ON,2011,56.96800559857534,9
2011-10-01,ON,2011,56.92906242761644,10
2011-11-01,ON,2011,56.8888211509589,11
2011-12-01,ON,2011,56.849877979999995,12
2012-01-01,ON,2012,56.65537860412568,1
2012-02-01,ON,2012,56.46087922825136,2
2012-03-01,ON,2012,56.27892819920765,3
2012-04-01,ON,2012,56.084428823333326,4
2012-05-01,ON,2012,55.89620362087431,5
2012-06-01,ON,2012,55.701704244999995,6
2012-07-01,ON,2012,55.51347904254098,7
2012-08-01,ON,2012,55.318979666666664,8
2012-09-01,ON,2012,55.12448029079234,9
2012-10-01,ON,2012,54.936255088333326,10
2012-11-01,ON,2012,54.74175571245901,11
2012-12-01,ON,2012,54.553530509999995,12
2013-01-01,ON,2013,54.70247711282191,1
2013-02-01,ON,2013,54.85142371564383,2
2013-03-01,ON,2013,54.98595613109588,3
2013-04-01,ON,2013,55.134902733917805,4
2013-05-01,ON,2013,55.279044607616434,5
2013-06-01,ON,2013,55.42799121043835,6
2013-07-01,ON,2013,55.572133084136986,7
2013-08-01,ON,2013,55.7210796869589,8
2013-09-01,ON,2013,55.87002628978082,9
2013-10-01,ON,2013,56.01416816347945,10
2013-11-01,ON,2013,56.16311476630137,11
2013-12-01,ON,2013,56.30725664,12
2011-01-01,PE,2011,0.7140957402531508,1
2011-02-01,PE,2011,0.7214565425063014,2
2011-03-01,PE,2011,0.7281050090575343,3
2011-04-01,PE,2011,0.735465811310685,4
2011-05-01,PE,2011,0.7425891683298631,5
2011-06-01,PE,2011,0.7499499705830138,6
2011-07-01,PE,2011,0.7570733276021918,7
