year,month,city,state_or_province,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,megatonnes CO2,date,Population,Area(km^2),Population Density,GDP per Capita
2011,4,Bismarck,ND,18.4,-10,80.3,46.6,0.6484678512435911,2011-04-01,63288,70,904.1142857142858,46325
2011,4,Boise,ID,18.7,-2.6,43.699999999999996,33.5,1.255014436603536,2011-04-01,213444.25,165,1293.601515151515,39282.25
2011,4,Boston,MA,24.1,-0.6,117.2,39.8,2.927462035,2011-04-01,633760,232,2731.7241379310344,55140.25
2011,4,Carson City,NV,20.3,-4,23.7,24.2,0.3499389652904706,2011-04-01,54597.75,371,147.16374663072776,55261
2011,4,Charleston,WV,29.5,-0.8,165.8,33.5,0.3089854124992406,2011-04-01,50907.25,82,620.8201219512196,57691
2011,4,Charlottetown,PE,19.4,-5.3,69,46.1,0.1765316706193473,2011-04-01,34638.6,44.29,782.0862497177692,27551.822882831377
2011,4,Cheyenne,WY,22.5,-5.9,62.4,49.4,0.851749075,2011-04-01,60498.25,55,1099.9681818181818,51441.5
2011,4,Columbia,SC,30.9,6.4,56.2,35.6,0.8772998248780587,2011-04-01,131584.5,324,406.125,40878.75
2011,4,Columbus,OH,27.3,-2.2,222,39.4,4.229741928133563,2011-04-01,803725.75,545,1474.7261467889907,51932.5
2011,4,Concord,NH,24.3,-3.2,139.6,30,0.2264369194887572,2011-04-01,42582.5,167,254.98502994011977,49495.75
2011,4,Denver,CO,24.9,-15,84.89999999999999,27.4,3.504775786255865,2011-04-01,623928.75,397,1571.6089420654912,54388.5
2011,4,Des Moines,IA,28.8,-1,109,42.3,1.4138011983418328,2011-04-01,208557,196,1064.0663265306123,38689.25
2011,4,Dover,DE,27.4,1.4,105.1,39.1,0.2125856438487917,2011-04-01,36409.25,58,627.7456896551724,35228.75
2011,4,Edmonton,AB,15.4,-11.1,17.099999999999998,29.6,5.803689591348885,2011-04-01,818218.25,765.61,1068.7141625631848,53706.95291484814
2011,4,Frankfort,KY,29.1,0.3,301.09999999999997,29.9,0.1196557504343636,2011-04-01,16284,38,428.5263157894737,42779.75
2011,4,Fredericton,NB,20.7,-7.1,121.4,29.3,0.3206354598686771,2011-04-01,56348.85,130.7,431.1312165263964,29999.45093590321
2011,4,Halifax,NS,14.7,-1.9,96.4,40.6,2.0106423778419757,2011-04-01,390968.15,5475.57,71.40227410114382,28756.370268303763
